;dataset105_7sites_15samples;site;laboratory_job_re6;laboratory_re6_sample_bis;MinC;T10_HC_PYR;T30_HC_PYR;T50_HC_PYR;T70_HC_PYR;T90_HC_PYR;T10_CO_PYR;T30_CO_PYR;T50_CO_PYR;T70_CO_PYR;T90_CO_PYR;T10_CO2_PYR;T30_CO2_PYR;T50_CO2_PYR;T70_CO2_PYR;T90_CO2_PYR;T10_CO_OX;T30_CO_OX;T50_CO_OX;T70_CO_OX;T90_CO_OX;T10_CO2_OX;T30_CO2_OX;T50_CO2_OX;T70_CO2_OX;T90_CO2_OX;PseudoS1;PseudoS1_PC;PseudoS1_TOCre6;S2;S2_PC;HI;OIre6;HI_OIre6;PC;PC_TOCre6;TOCre6;I_index;R_index;TLHC_index;soc_ea_g_kg;retained_soc_g_kg;defined_retained_soc_g_kg;cpsoc_sample_proportion;sd_cpsoc_sample_proportion
ASK16;yes;askov;2018-50;no;0.7;319;379;428;466;510;306;358;402;452;519;281;336;383;434;502;319;364;399;453;550;328;373;409;457;538;0.0490744775659611;0.0163581591886537;0.0047186997659578;2.14924988326436;0.716416627754787;249;164.441558441558;1.51421576370242;3;0.288461538461538;10.4;0.118463993176387;0.619030127171563;0.612747576372197;11.789668471939;11.1;tocre6plusminc;0.459459459459459;0.0819362187251752
ASK23;yes;askov;2018-50;no;0.6;322;385;432;467;509;304;354;400;453;521;278;332;381;434;502;317;361;394;444;544;329;374;410;457;538;0.0537835019321804;0.0173495167523163;0.0049799538826093;2.24406694763354;0.723892563752755;250;155.184223184223;1.61098850688719;3.1;0.287037037037037;10.8;0.0823530371500283;0.63934473137208;0.599880665583681;11.519405124603;11.4;tocre6plusminc;0.447368421052632;0.0796477039269429
25Z47;yes;askov;2018-49;no;0.8;316;380;430;467;508;303;353;399;453;521;280;334;382;435;503;329;372;405;456;563;334;379;414;459;541;0.0611286576546766;0.0179790169572578;0.00526971186678247;2.39518560218949;0.704466353585144;249;160.019704433498;1.55605836719615;3.4;0.293103448275862;11.6;0.110350593037176;0.626894260658088;0.604556813994614;12.427899048996;12.4;tocre6plusminc;0.411290322580645;0.0728797569794324
10Z46;yes;askov;2018-49;no;2.6;310;368;417;458;503;309;369;418;473;535;280;336;384;436;506;362;402;425;457;560;358;401;426;458;542;0.0606790892099953;0.0173368826314272;0.00466762224692272;2.23626002141134;0.638931434688954;208;168.983016983017;1.23089292470677;3.5;0.269230769230769;13;0.173202336772527;0.572343860673428;0.660312408192332;14.8;15.6;tocre6plusminc;0.326923076923077;0.0573751852083849
ASK12;yes;askov;2018-50;no;0.9;310;370;420;461;506;305;357;402;453;520;278;333;379;430;500;323;368;400;449;552;331;376;410;456;537;0.0796207300860421;0.0169405808693707;0.00513682129587368;3.44574359784656;0.733136935712034;268;156.467532467532;1.71281540504649;4.7;0.303225806451613;15.5;0.171061034570746;0.582659461839769;0.642987113214627;17.3;16.4;tocre6plusminc;0.310975609756098;0.0544896983052095
ASK13;yes;askov;2018-50;no;0.7;314;371;421;461;505;306;357;403;456;520;279;335;383;436;505;322;367;402;454;555;329;374;409;456;538;0.0567162607702292;0.0166812531677145;0.00484754365557515;2.50779205314257;0.737585897983109;258;159.268287268287;1.61990817145789;3.4;0.290598290598291;11.7;0.162393466894992;0.585393681907639;0.64347153226139;13.4;12.4;tocre6plusminc;0.411290322580645;0.0728797569794324
ASK26;yes;askov;2018-50;no;0.7;313;372;422;461;505;303;354;400;453;521;277;330;377;429;499;314;360;395;466;576;329;374;409;456;537;0.0674791930267147;0.0156928355876081;0.00481994235905105;3.20094975485847;0.744406919734528;276;152.972170686456;1.80424974530636;4.3;0.307142857142857;14;0.150396364502965;0.591478519049;0.639691924687884;13.845795857109;14.7;tocre6plusminc;0.346938775510204;0.0610159573562463
ASK28;yes;askov;2018-50;no;0.8;313;372;423;463;506;304;356;402;455;522;278;331;378;431;501;318;362;394;444;548;329;373;408;453;535;0.0651272903447442;0.0155064977011296;0.00465194931033887;3.11917529282312;0.742660784005505;269;145.751391465677;1.8456084521385;4.2;0.3;14;0.164441794299778;0.59178627033982;0.632990529009953;15.15983356511;14.8;tocre6plusminc;0.344594594594595;0.060588420627193
ASK3;yes;askov;2018-50;no;0.8;306;365;417;460;504;304;356;402;456;523;277;330;375;427;498;320;363;393;433;535;329;373;405;445;526;0.0803601597213515;0.0160720319442703;0.00502250998258447;3.77755112989689;0.755510225979378;284;147.805194805195;1.92144802741411;5;0.3125;16;0.207752032516091;0.564625036538914;0.652993484240657;16.924008963679;16.8;tocre6plusminc;0.303571428571429;0.0531544253929126
ASK31;yes;askov;2018-50;no;0.9;318;380;429;465;506;302;353;399;453;521;276;330;379;432;502;321;366;401;453;550;329;375;410;457;537;0.0607346387927339;0.0189795746227293;0.00537474679581716;2.35879679506979;0.737123998459309;251;152.523158257672;1.64565173490547;3.2;0.283185840707965;11.3;0.101726659844115;0.623981727150886;0.614486118870966;11.214576902552;12.2;tocre6plusminc;0.418032786885246;0.0741378763018707
ASK33;yes;askov;2018-50;no;0.9;315;374;423;462;505;302;353;398;453;522;276;329;375;428;499;316;361;395;453;563;326;372;408;456;537;0.0654237870902468;0.0167753300231402;0.00495634750683688;2.8432805546945;0.729046296075513;260;160.900432900433;1.61590615583297;3.9;0.295454545454545;13.2;0.155071949592368;0.593392935970374;0.635915656094662;14.963385948338;14.1;tocre6plusminc;0.361702127659574;0.0637157021155973
ASK34;yes;askov;2018-50;no;0.6;319;378;427;464;507;302;353;399;454;522;277;331;378;431;501;316;358;390;442;551;326;371;406;452;535;0.0610991795009905;0.017970346912056;0.00545528388401701;2.43899738131893;0.717352170976156;262;163.128014842301;1.60610058458249;3.4;0.303571428571429;11.2;0.118614589235692;0.61512222143;0.620323111742492;12.355843353815;11.8;tocre6plusminc;0.432203389830508;0.0767920044024187
ASK4;yes;askov;2018-50;no;0.9;303;360;412;456;500;303;357;404;458;525;277;331;377;427;499;320;365;396;436;538;329;373;406;446;526;0.081184312093844;0.0169133983528842;0.00534107316406868;3.52434730265577;0.734239021386619;280;158.974709501025;1.76128643907473;4.8;0.315789473684211;15.2;0.222479108260715;0.546736224083313;0.673224466615994;15.021898538915;16.1;tocre6plusminc;0.316770186335404;0.0555366285316966
ASK6;yes;askov;2018-50;no;0.6;312;372;422;462;506;305;355;400;452;521;278;332;379;431;500;318;363;395;446;554;329;373;407;453;535;0.0722757834477901;0.0185322521661;0.00582869221353146;2.90146881005785;0.743966361553295;282;152.330121491412;1.85124253324973;3.9;0.314516129032258;12.4;0.160743087528631;0.591052572040634;0.636853948588525;13.025245134586;13;tocre6plusminc;0.392307692307692;0.0693535804445522
ASK9;yes;askov;2018-50;no;0.9;313;373;423;462;507;306;360;407;460;524;278;333;379;430;499;322;366;398;451;557;331;375;408;452;534;0.0563211179274243;0.0152219237641687;0.00440008733808002;2.64484283615116;0.714822388148962;249;157.168831168831;1.58428358948934;3.7;0.2890625;12.8;0.157422253414634;0.593665379452162;0.634958112615186;13.4;13.7;tocre6plusminc;0.372262773722628;0.0656546882180301
bad_21;yes;bad_lauchstadt;2016-37;no;1.6;309;380;429;472;535;314;367;414;468;529;287;350;403;457;519;318;364;397;456;539;333;375;410;458;532;0.181022175249422;0.06962391355747;0.0119093536348304;1.12614895650881;0.43313421404185;89;188.423786739576;0.472339514771606;2.6;0.171052631578947;15.2;0.147953290932935;0.622191349024339;0.598901924151358;16.9;16.8;tocre6plusminc;0.892857142857143;0.0398986487651434
Bad2.1;yes;bad_lauchstadt;2019-36;no;1.8;338;398;443;483;546;314;367;417;471;531;295;358;412;465;524;315;355;391;451;531;325;372;415;475;540;0.064974977172799;0.02824999007513;0.00393787740441206;1.035590459329;0.450256721447391;76;160.277056277056;0.474178910976664;2.3;0.139393939393939;16.5;0.0505719800382075;0.688953889310429;0.537862872630401;NA;18.3;tocre6plusminc;0.819672131147541;0.0353280104572445
Bad2.10;yes;bad_lauchstadt;2019-36;no;1.9;338;395;440;482;546;317;370;420;473;531;297;362;416;469;524;315;354;393;472;544;325;372;412;472;538;0.0546205919952762;0.0260098057120363;0.00356997333302459;0.873417590061422;0.415913138124487;69;161.3377472201;0.427674249757986;2.1;0.137254901960784;15.3;0.0712328065016152;0.678019482696866;0.549701759487346;NA;17.2;tocre6plusminc;0.872093023255814;0.0385713887376001
Bad2.11;yes;bad_lauchstadt;2019-36;no;2.2;337;396;441;483;545;318;371;420;471;530;298;363;417;468;525;317;356;391;458;532;325;373;415;474;540;0.0613576554663271;0.0266772415070987;0.00383485346664544;1.00496052916753;0.436939360507622;76;161.383116883117;0.470929062889792;2.3;0.14375;16;0.0674089339963539;0.681214698028513;0.543419584621021;NA;18.2;tocre6plusminc;0.824175824175824;0.0356006835370316
Bad2.12;yes;bad_lauchstadt;2019-36;no;1.7;343;402;445;484;545;317;369;418;470;531;297;361;414;467;525;313;354;391;463;542;327;374;415;474;540;0.0528528203141176;0.0240240092336898;0.00328278387044209;0.99291556343735;0.451325256107886;75;157.208356860531;0.477073875064651;2.2;0.136645962732919;16.1;0.0207747064712854;0.704613138040649;0.526174042572337;NA;17.8;tocre6plusminc;0.842696629213483;0.036733772417893
Bad2.13;yes;bad_lauchstadt;2019-36;no;1.7;337;396;442;483;547;317;371;420;472;531;297;362;416;467;524;324;363;399;462;538;328;375;416;475;540;0.0579796115719495;0.0263543688963407;0.00362372572324684;0.951183549090615;0.432356158677552;72;159.915584415584;0.45023754415885;2.2;0.1375;16;0.0707704470737393;0.682729335499165;0.540299930411083;NA;17.7;tocre6plusminc;0.847457627118644;0.0370281170180701
Bad2.16;yes;bad_lauchstadt;2019-36;no;1.7;335;395;440;480;540;316;369;418;472;531;296;360;414;466;524;312;352;389;460;540;324;372;413;473;540;0.0589632838121759;0.0268014926418981;0.0037083826296966;0.96183789661228;0.437199043914673;73;159.360287511231;0.458081502864102;2.2;0.138364779874214;15.9;0.0588400205608232;0.67803051503308;0.553289213876822;NA;17.6;tocre6plusminc;0.852272727272727;0.0373270893240873
Bad2.2;yes;bad_lauchstadt;2019-36;no;1.7;337;396;441;482;546;315;368;418;470;530;295;360;413;466;524;322;363;398;457;537;328;375;416;475;541;0.0585046594530527;0.025436808457849;0.00365654121581579;1.02275280391831;0.444675132138396;77;160.298701298701;0.480353236652354;2.3;0.14375;16;0.0677564197577474;0.680205555412389;0.543800969009728;NA;17.7;tocre6plusminc;0.847457627118644;0.0370281170180701
Bad2.3;yes;bad_lauchstadt;2019-36;no;1.7;320;386;434;476;538;315;368;418;471;531;296;358;411;465;524;313;351;382;444;532;325;372;414;472;539;0.1068257724917;0.04273030899668;0.00639675284381437;1.17395209097907;0.469580836391628;85;159.652850143868;0.53240515232521;2.5;0.149700598802395;16.7;0.12244919877621;0.643436689272555;0.577714284619157;NA;18.4;tocre6plusminc;0.815217391304348;0.0350593967029399
Bad2.4;yes;bad_lauchstadt;2019-36;no;1.7;340;398;441;483;544;317;370;420;472;531;298;361;415;467;523;319;358;399;468;542;327;374;416;474;541;0.0530214750033906;0.0230528152188655;0.0031940647592404;1.07043283850953;0.465405581960665;78;157.875762791425;0.4940593706144;2.3;0.13855421686747;16.6;0.0463094794759536;0.68895358444979;0.543656392314551;NA;18.3;tocre6plusminc;0.819672131147541;0.0353280104572445
Bad2.5;yes;bad_lauchstadt;2019-36;no;1.9;337;397;441;481;544;315;369;418;472;531;296;359;413;466;524;318;360;399;463;539;327;375;416;475;542;0.0570099330385414;0.0237541387660589;0.0034551474568813;1.08555976320537;0.452316568002238;79;157.714285714286;0.500905797101449;2.4;0.145454545454545;16.5;0.0459395724723224;0.686435190396897;0.545025584437017;NA;18.4;tocre6plusminc;0.815217391304348;0.0350593967029399
Bad2.6;yes;bad_lauchstadt;2019-36;no;1.7;336;395;441;482;544;317;371;421;473;531;299;363;416;467;524;320;356;389;454;532;325;373;414;472;540;0.0566948800950531;0.0246499478674144;0.00347821350276399;1.02247664798131;0.4445550643397;75;157.683053143176;0.475637670028498;2.3;0.141104294478528;16.3;0.0748432650666562;0.677746940479658;0.546768238568207;NA;18;tocre6plusminc;0.833333333333333;0.0361585633143827
Bad2.7;yes;bad_lauchstadt;2019-36;no;2.1;335;393;439;482;543;317;372;423;472;530;299;365;419;468;522;327;366;405;475;542;326;374;415;473;542;0.054366693232935;0.0236376927099717;0.00335596871808241;0.985884851030164;0.428645587404419;73;163.600448933782;0.446209044509083;2.3;0.141975308641975;16.2;0.0953173289467555;0.668971659931855;0.551049006293946;NA;18.3;tocre6plusminc;0.819672131147541;0.0353280104572444
Bad2.8;yes;bad_lauchstadt;2019-36;no;1.8;333;393;440;482;547;318;373;422;472;529;299;365;418;467;522;325;362;397;452;532;327;375;417;475;542;0.0643687145792775;0.025747485831711;0.00365731332836804;1.10070580364322;0.440282321457288;76;161.246753246753;0.471327319587629;2.5;0.142045454545455;17.6;0.0950121171279088;0.668611682671945;0.549665914304356;NA;19.4;tocre6plusminc;0.77319587628866;0.0325787046952642
Bad2.9;yes;bad_lauchstadt;2019-36;no;1.7;330;393;438;480;543;317;370;419;473;532;295;360;414;467;526;320;364;407;480;549;326;372;413;472;539;0.0767251386745333;0.0348750630338788;0.00485602143509704;0.979930744811611;0.44542306582346;75;159.885582771659;0.469085446604098;2.2;0.139240506329114;15.8;0.0787365661189427;0.670084965505768;0.556319442066557;NA;17.5;tocre6plusminc;0.857142857142857;0.0376307937032363
gri_1;yes;grignon;2015-03;no;8.7;327;388;434;477;537;309;358;405;460;522;290;347;398;453;517;312;386;468;522;581;324;379;434;495;552;0.0835895158221254;0.0309590799341205;0.00638087907039125;1.41677433194309;0.524731234052996;131;200.623376623377;0.652964785085447;2.7;0.206106870229008;13.1;0.107993725411011;0.648463883899188;0.576289450191445;13.440401;13.1;tocre6;0.543511450381679;0.0791044203483772
gri_10;yes;grignon;2015-03;no;10.7;323;385;433;476;534;310;359;405;460;522;293;349;399;453;517;313;383;464;515;565;325;381;437;497;552;0.0785354845434867;0.0261784948478289;0.00549199192611795;1.68742683582968;0.562475611943227;143;180.155844155844;0.79375720876586;3;0.20979020979021;14.3;0.121256916864633;0.642725018984662;0.58004344268372;14.159035;14.3;tocre6;0.497902097902098;0.0720645105494834
gri_13;yes;grignon;2015-03;no;7.6;318;378;427;472;535;311;359;405;459;524;294;352;402;456;519;321;396;465;516;564;325;382;439;499;553;0.0783253596149538;0.0340545041804147;0.00718581280871136;1.22266239905974;0.531592347417278;136;184.987012987013;0.735186745296265;2.3;0.211009174311927;10.9;0.175181962946594;0.610275460137048;0.603784831448982;11.115956;10.9;tocre6;0.653211009174312;0.0965123293064735
gri_16;yes;grignon;2015-03;no;11.9;333;393;441;483;540;312;360;406;459;522;297;353;403;457;519;322;390;460;515;568;325;382;439;499;555;0.0527984586893933;0.0239992994042697;0.00467242997251268;1.13689906508631;0.516772302311959;121;192.051948051948;0.630037868542061;2.2;0.194690265486726;11.3;0.090593145494617;0.673560526992764;0.544498393281927;11.971599;11.3;tocre6;0.630088495575221;0.0927834169259232
gri_19;yes;grignon;2015-03;no;7.3;332;390;437;481;545;314;360;406;460;525;296;353;403;457;519;321;389;458;511;558;324;381;439;500;555;0.0524789697494001;0.0291549831941112;0.00558286912227661;0.854711881240632;0.474839934022573;110;202.805194805195;0.542392418032786;1.8;0.191489361702128;9.4;0.107067640900082;0.659417011561359;0.561553803575217;10.048759;9.4;tocre6;0.757446808510638;0.113756758087304
gri_20;yes;grignon;2016-37;no;8.1;324;388;434;478;540;311;359;403;457;522;291;346;395;450;515;310;370;447;510;565;322;376;433;495;552;0.131912424025835;0.0507355477022442;0.0111790189852403;1.18231273819208;0.454735668535415;121;246.01893022232;0.491832071177026;2.6;0.220338983050847;11.8;0.116085094190941;0.648690241747204;0.573983519059574;12.300403;11.8;tocre6;0.603389830508475;0.0885185544754781
gri_22;yes;grignon;2015-03;no;10.6;326;385;433;477;537;312;360;405;459;522;296;352;402;456;518;322;395;464;516;566;323;381;439;499;554;0.0574303922235502;0.0273478058207382;0.00536732637603273;1.08112078182472;0.514819419916533;121;191.220779220779;0.632776419451237;2.1;0.196261682242991;10.7;0.139341274086304;0.637791887601578;0.579384396398067;11.204998;10.7;tocre6;0.665420560747664;0.0984949245325498
gri_23;yes;grignon;2016-37;no;9.7;322;387;434;479;540;312;360;405;458;522;292;347;396;451;516;313;363;451;514;566;323;377;433;495;551;0.153934934710525;0.0570129387816759;0.0125150353423191;1.24038756885818;0.459402803280807;122;242.904022806462;0.50225598814889;2.7;0.219512195121951;12.3;0.122570365869199;0.647355153115606;0.570291818715711;13.066859;12.3;tocre6;0.578861788617886;0.0846376311373226
gri_25;yes;grignon;2015-03;no;7.2;330;388;434;478;542;312;360;406;460;524;295;350;400;453;517;313;375;446;504;556;319;374;431;492;550;0.0564495184579155;0.0245432688947459;0.00474365701327021;1.18741696662988;0.516268246360817;120;182.909090909091;0.656063618290258;2.3;0.19327731092437;11.9;0.108928898202434;0.650588464629931;0.57481529231115;12.063547;11.9;tocre6;0.598319327731092;0.087713402724279
gri_28;yes;grignon;2015-03;no;10.3;327;386;433;477;538;312;361;408;462;526;291;349;400;455;519;315;378;473;524;570;324;378;435;496;554;0.0845007824590254;0.0352086593579273;0.00692629364418241;1.13366913439296;0.4723621393304;112;202.233766233766;0.553814538916004;2.4;0.19672131147541;12.2;0.12659277021829;0.64098767182428;0.581514085128189;12.571796;12.2;tocre6;0.583606557377049;0.0853856496957647
gri_31;yes;grignon;2015-03;no;6.4;321;380;428;476;539;315;360;406;460;525;300;357;407;460;521;329;406;475;522;565;326;386;446;505;558;0.0521038797308626;0.0325649248317891;0.00651298496635782;0.807056128269949;0.504410080168718;121;189.714285714286;0.637801204819276;1.6;0.2;8;0.177144794881438;0.617081584135749;0.593818479168612;8.416804;8;tocre6;0.89;0.136817910468622
gri_34;yes;grignon;2015-03;no;10.4;327;386;433;479;542;315;361;407;460;524;298;356;407;460;521;328;413;487;539;643;329;386;447;508;561;0.0508960175206807;0.0318100109504254;0.00547269005598717;0.81304054553749;0.508150340960931;105;178.285714285714;0.588942307692309;1.6;0.172043010752688;9.3;0.147753785266857;0.638513609965869;0.57316685272856;9.422317;9.3;tocre6;0.765591397849462;0.115135763519013
gri_35;yes;grignon;2016-37;no;8.6;318;385;434;479;542;311;359;404;458;522;291;346;395;450;515;311;374;452;513;569;323;377;435;497;553;0.157615650501596;0.0606214040390754;0.0133572585170844;1.16600369453482;0.448462959436469;119;239.714725952014;0.496423402973672;2.6;0.220338983050847;11.8;0.139648483575151;0.640940073998232;0.573884814743655;12.589403;11.8;tocre6;0.603389830508475;0.0885185544754781
gri_4;yes;grignon;2015-03;no;12.5;332;392;438;480;539;311;361;408;463;524;293;350;400;455;518;315;380;450;507;558;323;379;435;495;552;0.0592612625777846;0.0219486157695499;0.00432563960421785;1.39067818259213;0.515065993552641;123;192.623376623377;0.638551779935274;2.7;0.197080291970803;13.7;0.07895364651499;0.669086304333069;0.558414369891828;14.702149;13.7;tocre6;0.51970802919708;0.0754168308787305
gri_7;yes;grignon;2015-03;no;7;321;382;430;473;535;310;358;404;458;522;292;348;399;453;516;320;388;461;515;565;323;380;437;497;553;0.0761666092391007;0.0292948497073464;0.00614246848702425;1.44207730804277;0.554645118477988;140;187.012987012987;0.748611111111111;2.6;0.209677419354839;12.4;0.144644002981651;0.625816963886656;0.594257764164359;12.8815;12.4;tocre6;0.574193548387097;0.0839029311670989
roth_1;yes;rothamsted;2015-02;no;2.2;310;368;418;458;505;305;352;397;452;521;283;334;381;433;502;315;355;390;445;534;323;368;406;459;536;0.169825584619881;0.02096612155801;0.00600090405017247;5.38775370708436;0.66515477865239;229;193.402597402597;1.18405855492882;8.1;0.286219081272085;28.3;0.172963667323658;0.573283242271026;0.659508231225975;30.4779468807239;28.3;tocre6;0.343402656405675;0.0186805637169533
roth_10;yes;rothamsted;2015-02;no;1.2;302;370;416;456;513;299;346;391;452;524;279;337;386;436;503;328;382;443;518;579;328;377;417;478;551;0.11815234292814;0.0421972653314786;0.00968461827279836;1.51579125057742;0.541354018063364;150;206.38961038961;0.726780770198844;2.8;0.229508196721312;12.2;0.160771873118133;0.571829585626243;0.673677100793197;11.6588561739393;12.2;tocre6;0.796581571826279;0.052397219630326
roth_13;yes;rothamsted;2015-02;no;3.1;309;365;415;457;504;305;353;399;455;526;285;334;379;432;502;310;352;389;465;564;322;367;405;458;537;0.170979384967927;0.0181892962731837;0.0049559242019689;6.29073229476057;0.669226839868146;220;182.805194805195;1.20346689400398;9.4;0.272463768115942;34.5;0.198826621859856;0.559793628122873;0.667386189803566;33.192221863221;34.5;tocre6;0.28168971525451;0.0150567720413724
roth_14;yes;rothamsted;2015-02;no;2.3;307;361;410;454;502;303;351;396;452;521;282;331;377;428;498;316;358;392;449;546;322;367;403;454;533;0.167062587042912;0.0168750087922133;0.00462777249426349;6.72787650717396;0.679583485573127;225;176.415584415584;1.27539752650177;9.9;0.274238227146814;36.1;0.233611692277681;0.537777315415765;0.682438787554536;36.1562045971202;36.1;tocre6;0.269204852528548;0.0143435163352343
roth_15;yes;rothamsted;2015-02;no;2.2;307;364;414;455;503;304;352;397;454;522;282;334;381;433;502;312;350;384;449;544;322;368;404;458;536;0.193792352208868;0.0227991002598668;0.00587249552148085;5.49763260230725;0.646780306153794;201;180.363636363636;1.11441532258065;8.5;0.257575757575758;33;0.193644573747588;0.555424081144308;0.674469629759893;31.796337386985;33;tocre6;0.294493793220624;0.0157948756833505
roth_16;yes;rothamsted;2015-02;no;2.2;308;359;406;453;502;304;352;396;453;522;282;332;376;428;499;313;353;387;442;532;320;366;403;456;535;0.204157683493934;0.0192601588201825;0.00504093045664035;7.1940582864695;0.678684744006557;214;170.025974025974;1.25863122517568;10.6;0.261728395061728;40.5;0.260152223101164;0.52253824451371;0.689919155980836;41.706794567662;40.5;tocre6;0.239957905587175;0.0126961356505159
